"ID","Dia_sem","Mes","Dia_ocor","Hora","Distrito","Preco","Coord"
"841883","2","6","29","9","QUEENS","305813.7948717949","(40.687720174, -73.8500979249999)"
"1022443","4","4","22","12","QUEENS","284660.3846153846","(40.685814265, -73.8624553029999)"
"1093777","7","9","19","0","MANHATTAN","1554646.5909090908","(40.726801165, -73.988986519)"
"965016","3","3","24","19","BROOKLYN","735019.1836734693","(40.704318465, -73.9192333)"
"1073959","3","5","12","11","BROOKLYN","757306.1224489796","(40.6671138090001, -73.9493701809999)"
"1010901","5","10","22","15","BROOKLYN","807918.918367347","(40.719261783, -73.938313278)"
"1080160","3","6","30","11","MANHATTAN","1557062.2727272727","(40.7443269410001, -73.999200284)"
"1090212","1","6","21","1","QUEENS","305813.7948717949","(40.7593567150001, -73.9198018669999)"
"1069299","4","8","19","20","BROOKLYN","776779.5918367347","(40.6761002550001, -73.9743543339999)"
"1081459","7","6","20","15","BRONX","80357.8125","(40.829659361, -73.904244201)"
"1056895","1","12","13","9","BRONX","94984.375","(40.8878106440001, -73.860453292)"
"1045978","2","4","13","11","MANHATTAN","1557982.8295454546","(40.7892720580001, -73.974722431)"
"1115117","5","8","13","12","MANHATTAN","1506192.0454545454","(40.756324836, -73.9777633049999)"
"1096386","1","5","17","21","STATEN ISLAND","143133.33333333334","(40.61642951, -74.074197762)"
"1112182","4","5","13","22","MANHATTAN","1471835.2159090908","(40.7931526570001, -73.937497233)"
"898339","1","12","27","1","QUEENS","332701.46153846156","(40.7017503060001, -73.890488605)"
"1117019","1","11","1","11","QUEENS","357619.8717948718","(40.738709199, -73.8676109899999)"
"743224","7","8","22","11","QUEENS","303412.5128205128","(40.742962354, -73.955274248)"
"1078834","3","6","23","15","MANHATTAN","1557062.2727272727","(40.746934278, -73.993588267)"
"1111433","1","11","15","11","STATEN ISLAND","149966.66666666666","(40.6232268190001, -74.1492269729999)"
"1052760","4","11","18","17","MANHATTAN","1621056.8181818181","(40.7613359790001, -73.974112151)"
"820395","7","4","25","14","BROOKLYN","735071.4285714285","(40.6831266780001, -73.9915248199999)"
"1042707","5","4","30","6","QUEENS","284660.3846153846","(40.7082110640001, -73.815046846)"
"993729","4","10","7","12","BROOKLYN","807918.918367347","(40.658038698, -73.9474344129999)"
"1052703","1","11","8","11","BROOKLYN","813043.8571428572","(40.7213445350001, -73.948412654)"
"1068450","4","8","19","12","BROOKLYN","776779.5918367347","(40.694587261, -73.921758583)"
"1007972","6","12","11","15","QUEENS","332701.46153846156","(40.759780345, -73.917249305)"
"847866","1","7","19","13","BROOKLYN","789217.3469387755","(40.575031251, -73.989882667)"
"922717","2","6","22","14","MANHATTAN","1557062.2727272727","(40.737560897, -74.007348325)"
"973580","4","11","25","6","QUEENS","357619.8717948718","(40.7202620900001, -73.900772178)"
"1113750","7","6","27","0","STATEN ISLAND","361333.3333333333","(40.6243743140001, -74.080323415)"
"993795","5","2","12","3","STATEN ISLAND","499999.6666666667","(40.5118043350001, -74.250034592)"
"1083075","2","2","23","10","MANHATTAN","1449851.1363636365","(40.7733495730001, -73.949011415)"
"1081976","4","2","4","15","MANHATTAN","1449851.1363636365","(40.7483667290001, -73.972713262)"
"955591","5","1","15","21","BROOKLYN","727974.4897959183","(40.683575761, -73.9410576719999)"
"952706","5","1","15","9","MANHATTAN","1369658.4090909092","(40.7288162930001, -74.0033532909999)"
"1100976","3","11","10","19","BROOKLYN","813043.8571428572","(40.700583415, -73.9431596429999)"
"1057606","6","1","2","9","QUEENS","274035.26923076925","(40.7176631390001, -73.904415925)"
"758322","2","11","30","16","QUEENS","357619.8717948718","(40.7061016690001, -73.793246036)"
"1109778","2","3","30","23","BRONX","75996.8125","(40.828578104, -73.904437269)"
"1014642","7","11","28","15","BRONX","98031.25","(40.826798975, -73.891410165)"
"826751","6","5","29","22","BRONX","80687.5","(40.8397395310001, -73.913178032)"
"967570","3","9","22","16","BROOKLYN","782987.7448979592","(40.64122243, -73.9644299019999)"
"1090890","4","9","2","19","BRONX","80778.125","(40.824146269, -73.8929464829999)"
"1056798","5","1","1","18","BRONX","70562.5","(40.8694047480001, -73.8799983179999)"
"1078097","2","9","28","16","MANHATTAN","1554646.5909090908","(40.7299798510001, -73.9921394519999)"
"1098723","4","10","14","0","MANHATTAN","1600241.9318181819","(40.7244110070001, -73.9998571369999)"
"1079462","2","2","2","14","MANHATTAN","1449851.1363636365","(40.8493294570001, -73.933732306)"
"825277","3","3","31","12","STATEN ISLAND","343333.3333333333","(40.5748339250001, -74.117927466)"
